date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:06:58	34607/34607	---MCZ	200	added ('OK')	text/html	etag:W/%2259dcc97a-872f%22	https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/index.html	C:/Users/Sparrow/Desktop/sagarika/copy/S_copy/jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/index.html	(from )
20:06:59	70/70	---MCZ	200	added ('OK')	text/plain	date:Tue,%2003%20Aug%202021%2014:36:59%20GMT	https://jituchauhan.com/robots.txt		(from )
20:07:00	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%2259198010-1d970%22	https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/css/bootstrap.min.css	C:/Users/Sparrow/Desktop/sagarika/copy/S_copy/jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/css/bootstrap.min.css	(from https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/index.html)
20:07:00	41923/41923	---MCZ	200	added ('OK')	text/css	etag:W/%2259198014-a3c3%22	https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/css/style.css	C:/Users/Sparrow/Desktop/sagarika/copy/S_copy/jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/css/style.css	(from https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/index.html)
20:07:00	2936/2936	---MCZ	200	added ('OK')	text/css	etag:W/%2259198012-b78%22	https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/css/owl.carousel.min.css	C:/Users/Sparrow/Desktop/sagarika/copy/S_copy/jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/css/owl.carousel.min.css	(from https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/index.html)
20:07:01	1301/1301	---MCZ	200	added ('OK')	text/css	etag:W/%2259198013-515%22	https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/css/owl.theme.default.css	C:/Users/Sparrow/Desktop/sagarika/copy/S_copy/jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/css/owl.theme.default.css	(from https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/index.html)
20:07:01	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%2259198010-7918%22	https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/css/font-awesome.min.css	C:/Users/Sparrow/Desktop/sagarika/copy/S_copy/jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/css/font-awesome.min.css	(from https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/index.html)
20:07:02	5195/5195	---M--	200	added ('OK')	image/png	etag:%225919804c-144b%22	https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/images/logo.png	C:/Users/Sparrow/Desktop/sagarika/copy/S_copy/jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/images/logo.png	(from https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/index.html)
20:07:02	17625/17625	---MCZ	200	added ('OK')	text/html	etag:W/%2259197ff8-44d9%22	https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/about-us.html	C:/Users/Sparrow/Desktop/sagarika/copy/S_copy/jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/about-us.html	(from https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/index.html)
20:07:02	18552/18552	---MCZ	200	added ('OK')	text/html	etag:W/%2259198009-4878%22	https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/team-listing.html	C:/Users/Sparrow/Desktop/sagarika/copy/S_copy/jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/team-listing.html	(from https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/index.html)
20:07:03	21995/21995	---MCZ	200	added ('OK')	text/html	etag:W/%2259197ffa-55eb%22	https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/awards.html	C:/Users/Sparrow/Desktop/sagarika/copy/S_copy/jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/awards.html	(from https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/index.html)
20:07:03	24625/24625	---MCZ	200	added ('OK')	text/html	etag:W/%2259198002-6031%22	https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/home-visit.html	C:/Users/Sparrow/Desktop/sagarika/copy/S_copy/jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/home-visit.html	(from https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/index.html)
20:07:03	20103/20103	---MCZ	200	added ('OK')	text/html	etag:W/%225919800a-4e87%22	https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/test-list.html	C:/Users/Sparrow/Desktop/sagarika/copy/S_copy/jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/test-list.html	(from https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/index.html)
20:07:04	29947/29947	---MCZ	200	added ('OK')	text/html	etag:W/%225919800a-74fb%22	https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/test-single.html	C:/Users/Sparrow/Desktop/sagarika/copy/S_copy/jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/test-single.html	(from https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/index.html)
20:07:04	27491/27491	---MCZ	200	added ('OK')	text/html	etag:W/%2259197ffa-6b63%22	https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/blog-listing.html	C:/Users/Sparrow/Desktop/sagarika/copy/S_copy/jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/blog-listing.html	(from https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/index.html)
20:07:04	33446/33446	---MCZ	200	added ('OK')	text/html	etag:W/%2259197ffc-82a6%22	https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/blog-single.html	C:/Users/Sparrow/Desktop/sagarika/copy/S_copy/jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/blog-single.html	(from https://jituchauhan.com/site-templates/medical-website-template/06_pathology_lab/index.html)
